Problems,Column 5,Solution 1,Solution 2,Solution 3
Redundant Connection,Graphs,"class Solution:
    def findRedundantConnection(self, edges: List[List[int]]) -> List[int]:
        adjList, queue, path = defaultdict(list), collections.deque(), set()

        for node, neighbor in edges:
            adjList[node].append(neighbor)
            adjList[neighbor].append(node)

        def dfs(node, prevNode):
            if node in path:
                while queue[0] != node:
                    pastNode = queue.popleft()
                    path.remove(pastNode)
                return True

            path.add(node)
            queue.append(node)

            for neighbor in adjList[node]:
                if neighbor != prevNode and dfs(neighbor, node):
                    return True
            
            queue.pop()
            path.remove(node)
            return False

        dfs(edges[0][0], -1)

        for node, neighbor in edges[::-1]:
            if node in path and neighbor in path:
                return [node, neighbor]",,
Word Ladder,Graphs,"class Solution:
    def ladderLength(self, beginWord: str, endWord: str, wordList: List[str]) -> int:
        if endWord not in wordList:
            return 0
        
        adjList = collections.defaultdict(list)

        for word in wordList:
            for char in range(len(word)):
                pattern = word[:char] + ""*"" + word[char + 1:]
                adjList[pattern].append(word)

        queue = collections.deque([beginWord])
        visited = set()
        result = 1

        while queue:
            for i in range(len(queue)):
                word = queue.popleft()
                
                if word == endWord:
                    return result

                for char in range(len(word)):
                    pattern = word[:char] + ""*"" + word[char + 1:]
                    for neighbor in adjList[pattern]:
                        if neighbor not in visited:
                            visited.add(neighbor)
                            queue.append(neighbor)
            result += 1

        return 0",,
Network Delay Time,Advanced Graphs,,,
Reconstruct Itinerary,Advanced Graphs,,,
Min Cost to Connect All Points,Advanced Graphs,,,
Swim In Rising Water,Advanced Graphs,,,
Alien Dictionary,Advanced Graphs,,,
Cheapest Flights Within K Stops,Advanced Graphs,,,
Climbing Stairs,1-D Dynamic Programming,"# Brute Force
class Solution:
    def climbStairs(self, n: int) -> int:
        def dfs(step):
            if step > n:
                return 0
            elif step < n:
                return dfs(step + 1) + dfs(step + 2)
            else:
                return 1

        return dfs(0)","# Linear Time + Space
class Solution:
    def climbStairs(self, n: int) -> int:
        if n <= 2:
            return n

        ways = [0] * (n+1)

        ways[n] = 1
        ways[n - 1] = 1

        for i in range(n - 2, -1, -1):
            ways[i] = ways[i + 1] + ways[i + 2]

        return ways[0]","# Linear Time + Constant Space:
class Solution:
    def climbStairs(self, n: int) -> int:
        waysOne, waysTwo = 1, 1

        for i in range(n - 1):
            temp = waysOne
            waysOne = waysOne + waysTwo
            waysTwo = temp

        return waysOne"
Min Cost Climbing Stairs,1-D Dynamic Programming,"# Brute Force
class Solution:
    def minCostClimbingStairs(self, cost: List[int]) -> int:
        
        def dfs(index):
            if index >= len(cost):
                return 0
            return cost[index] + min(dfs(index + 1), dfs(index + 2))

        return min(dfs(0), dfs(1))","# DP Bottom-Up/Linear Time + Space
class Solution:
    def minCostClimbingStairs(self, cost: List[int]) -> int:
        dp = [0] * len(cost)
        dp[0], dp[1] = cost[0], cost[1]
        
        for i in range(2, len(cost)):
            dp[i] = cost[i] + min(dp[i - 1], dp[i - 2])

        return min(dp[len(cost) - 1], dp[len(cost) - 2])","# DP Bottom-up/Linear Time + Constant Space
class Solution:
    def minCostClimbingStairs(self, cost: List[int]) -> int:
        prev2, prev1 = cost[0], cost[1]
        
        for i in range(2, len(cost)):
            prev1, prev2 = cost[i] + min(prev1, prev2), prev1

        return min(prev1, prev2)"
House Robber,1-D Dynamic Programming,"# Brute Force
class Solution:
    def rob(self, nums: List[int]) -> int:
        
        def dfs(house):
            if house >= len(nums):
                return 0
            
            return max(dfs(house + 1), nums[house] + dfs(house + 2))


        return dfs(0)","# Linear Time + Space
class Solution:
    def rob(self, nums: List[int]) -> int:
        if len(nums) <= 2:
            return max(nums)
        
        cache = [0] * len(nums)
        cache[0] = nums[0]
        cache[1] = max(nums[0], nums[1])

        for i in range(2, len(nums), 1):
            cache[i] = max(cache[i - 2] + nums[i], cache[i - 1])

        return cache[-1]


        ","# Linear Time + Constant Space
class Solution:
    def rob(self, nums: List[int]) -> int:
        # [prev2, prev1, n, n+1, n+2...]
        prev2, prev1 = 0, 0

        for n in nums:
            temp = prev1
            prev1 = max(prev1, prev2 + n)
            prev2 = temp

        return prev1


        "
House Robber II,1-D Dynamic Programming,"# Brute Force
class Solution:
    def rob(self, nums: List[int]) -> int:
        
        def dfs(house, houses):
            if house >= len(houses):
                return 0
            elif house > len(houses):
                return 0

            return max(dfs(house + 1, houses), houses[house] + dfs(house + 2, houses))

        option1, option2 = dfs(0, nums[1:]), dfs(0, nums[:-1])

        return max(option1, option2)","# Linear Time + Space
class Solution:
    def rob(self, nums: List[int]) -> int:
        if len(nums) <= 2:
            return max(nums)
        
        def tryRob(house, numbers):
            dp = [0] * len(numbers)
            dp[0] = numbers[0]
            dp[1] = max(numbers[0], numbers[1])

            for i in range(2, len(numbers), 1):
                dp[i] = max(dp[i - 1], dp[i - 2] + numbers[i])

            return dp[-1]


        return max(tryRob(0, nums[1:]), tryRob(0, nums[:-1]))
            ","# Linear Time + Constant Space
class Solution:
    def rob(self, nums: List[int]) -> int:
        if len(nums) == 1:
            return nums[0]
        
        def tryRob(house, numbers):
            prev2, prev1 = 0, 0

            for i in range(len(numbers)):
                temp = prev1
                prev1 = max(prev2 + numbers[i], prev1)
                prev2 = temp

            return prev1


        return max(tryRob(0, nums[1:]), tryRob(0, nums[:-1]))
            "
Longest Palindromic Substring,1-D Dynamic Programming,"# Brute Force O(n^3)
class Solution:
    def longestPalindrome(self, s: str) -> str:
        result = """"
        
        def isPalindrome(st):
            l, r = 0, len(st) - 1

            while l < r:
                if st[l] != st[r]:
                    return False
                else:
                    l, r = l + 1, r - 1   
            
            return True


        for l in range(len(s)):
            for r in range(l + 2, len(s) + 1):
                if isPalindrome(s[l:r]) and r - l > len(result):
                    result = s[l:r]


        return s[0] if not result else result
","# DP Solution
class Solution:
    def longestPalindrome(self, s: str) -> str:
        result = """"

        dp = [[False] * len(s) for i in range(len(s))]

        for i in range(len(s) - 1, -1, -1):
            for j in range(i, len(s)):
                if s[i] == s[j] and (j - i + 1 <= 2 or dp[i + 1][j - 1]):
                    dp[i][j] = True
                    if j - i + 1 > len(result):
                        result = s[i:j + 1]
        return result","# Optimal Space + Time O(n^3)/O(1) 
class Solution:
    def longestPalindrome(self, s: str) -> str:
        result = """"
        
        for i in range(len(s)):
            l, r = i, i
            while l >= 0 and r < len(s) and s[l] == s[r]:
                if r - l + 1 > len(result):
                    result = s[l:r + 1]
                l, r = l - 1, r + 1

            l, r = i, i + 1
            while l >= 0 and r < len(s) and s[l] == s[r]:
                if r - l + 1 > len(result):
                    result = s[l:r + 1]
                l, r = l - 1, r + 1

        return result"
Palindromic Substrings,1-D Dynamic Programming,"# Brute Force O(n^3)
class Solution:
    def countSubstrings(self, s: str) -> int:
        result = 0

        def isPalindrome(s2: str) -> bool:
            l, r = 0, len(s2) - 1

            while l < r:
                while l < r and not s2[l].isalnum():
                    l += 1
                while l < r and not s2[r].isalnum():
                    r -= 1

                if s2[l] != s2[r]:
                    return False
                
                l, r = l + 1, r - 1

            return True

        for l in range(len(s)):
            for r in range(l, len(s)):
                if isPalindrome(s[l:r + 1]):
                    result += 1

        return result ","# DP Solution
class Solution:
    def countSubstrings(self, s: str) -> int:
        result = 0

        dp = [[False] * len(s) for i in range(len(s))]

        for row in range(len(s) - 1, -1, -1):
            for col in range(row, len(s)):
                if s[row] == s[col] and (col - row < 2 or dp[row + 1][col - 1]):
                    dp[row][col] = True
                    result += 1

        return result","# Optimal Space + Time 
class Solution:
    def countSubstrings(self, s: str) -> int:
        result = 0

        for char in range(len(s)):
            l, r = char, char
            while l >= 0 and r < len(s) and s[l] == s[r]:
                result += 1
                l, r = l - 1, r + 1

            l, r = char, char + 1
            while l >= 0 and r < len(s) and s[l] == s[r]:
                result += 1
                l, r = l - 1, r + 1

        return result "
Decode Ways,1-D Dynamic Programming,"# Brute Force O(2^n)
class Solution:
    def numDecodings(self, s: str) -> int:

        def dfs(i):
            if i == len(s):
                return 1
            elif s[i] == ""0"":
                return 0

            result = dfs(i + 1)

            if i + 1 < len(s) and (s[i] == ""1"" or (s[i] == ""2"" and s[i + 1] < ""7"")):
                result += dfs(i + 2)

            return result

        return dfs(0) if s else 0
            
","# DP Solution
class Solution:
    def numDecodings(self, s: str) -> int:
        dp = {len(s) : 1}

        for i in range(len(s) - 1, -1, -1):
            if s[i] == ""0"":
                dp[i] = 0
            else:
                dp[i] = dp[i + 1]

            if i + 1 < len(s) and (s[i] == ""1"" or (s[i] == ""2"" and s[i + 1] < ""7"")):
                dp[i] += dp[i + 2]

        
        return dp[0]
            
","# Optimal Space + Time
class Solution:
    def numDecodings(self, s: str) -> int:
        current, ways1, ways2 = 0, 1, 0

        for i in range(len(s) - 1, -1, -1):
            if s[i] == ""0"":
                current = 0
            else:
                current = ways1

            if i + 1 < len(s) and (s[i] == ""1"" or (s[i] == ""2"" and s[i + 1] < ""7"")):
                current += ways2

            current, ways1, ways2 = 0, current, ways1

        
        return ways1
            
"
Coin Change,1-D Dynamic Programming,"# Brute Force
class Solution:
    def coinChange(self, coins: List[int], amount: int) -> int:
        
        def dfs(money):
            if money == amount:
                return 0
            else:
            
                result = amount + 1
                for coin in coins:
                    if coin + money <= amount:
                        result = min(1 + dfs(coin + money), result)
                
                return result

        answer = dfs(0)
        return -1 if answer == amount + 1 else answer","# DP Optimal Solution O(n * m), O(n)
class Solution:
    def coinChange(self, coins: List[int], amount: int) -> int:
        dp = [amount + 1] * (amount + 1)
        dp[0] = 0

        for i in range(1, amount + 1):
            for coin in coins:
                if i - coin >= 0:
                    dp[i] = min(1 + dp[i - coin], dp[i])

        return dp[amount] if dp[amount] != amount + 1 else -1",
Maximum Product Subarray,1-D Dynamic Programming,"# Brute Force
class Solution:
    def maxProduct(self, nums: List[int]) -> int:
        result = nums[0] if nums else -10

        for l in range(len(nums)):
            currentSum = 1
            for r in range(l, len(nums)):
                currentSum *= nums[r]
                if currentSum > result:
                    result = currentSum

        return result
","# DP Prefix/Suffix Linear Time + Constant Space
class Solution:
    def maxProduct(self, nums: List[int]) -> int:
        result, prefix, suffix = max(nums), 1, 1

        for i in range(len(nums)):
            prefix *= nums[i]
            suffix *= nums[len(nums) - 1 - i]

            result = max(prefix, suffix, result)

            if prefix == 0: prefix = 1
            if suffix == 0: suffix = 1

        return result","# DP Kadane's Algorithm Linear Time + Constant Space
class Solution:
    def maxProduct(self, nums: List[int]) -> int:
        currentMax, currentMin, result = 1, 1, max(nums)

        for i in range(len(nums)):
            temp = currentMax * nums[i]
            currentMax = max(temp, currentMin * nums[i], nums[i])
            currentMin = min(temp, currentMin * nums[i], nums[i])

            result = max(result, currentMax)

        return result"
Word Break,1-D Dynamic Programming,"# Brute Force
class Solution:
    def wordBreak(self, s: str, wordDict: List[str]) -> bool:
        
        def dfs(i):
            if i == len(s):
                return True

            for word in wordDict:
                r = 0
                while i + r < len(s) and r < len(word) and s[i + r] == word[r]:
                    r += 1
                if r == len(word) and dfs(i + r):
                    return True

            return False

        return dfs(0)","# DP Linearish: Check every word at every position, character by character
class Solution:
    def wordBreak(self, s: str, wordDict: List[str]) -> bool:
        
        dp = [False] * (len(s) + 1)
        dp[len(s)] = True

        for i in range(len(s) - 1, -1, -1):
            for word in wordDict:
                length = len(word)
                if (i + length <= len(s) and 
                    s[i:i + length] == word and
                    dp[i + length]):
                    dp[i] = True
                    break

        return dp[0]",
Longest Increasing Subsequence,1-D Dynamic Programming,"# Brute Force
class Solution:
    def lengthOfLIS(self, nums: List[int]) -> int:

        def dfs(prev, index):
            if index == len(nums):
                return 0
            
            skip = dfs(prev, index + 1)
            take = 0

            if prev == None or nums[prev] < nums[index]:
                take = 1 + dfs(index, index + 1)

            return max(skip, take)

        return dfs(None, 0)","# DP Top-Down Exponential Time + Linear Space 
class Solution:
    def lengthOfLIS(self, nums: List[int]) -> int:
        dp = [1] * len(nums)
        LIS = 1

        for i in range(len(nums) - 1, -1, -1):
            for j in range(i, len(nums)):
                if nums[i] < nums[j]:
                    dp[i] = max(dp[i], 1 + dp[j])
            LIS = dp[i] if dp[i] > LIS else LIS
        
        return LIS

        ",
Partition Equal Subset Sum,1-D Dynamic Programming,,"class Solution:
    def canPartition(self, nums: List[int]) -> bool:
        if sum(nums) % 2 != 0:
            return False

        sumSet = set()
        sumSet.add(0)
        target = sum(nums) // 2
        dp = [False] * (target + 1)
        dp[0] = True

        for n in nums:
            iterateSet = set(sumSet)
            for sums in iterateSet:
                sumSet.add(sums + n)
                if sums + n <= target: dp[sums + n] = dp[sums]

        return dp[target]
",
Unique Paths,2-D Dynamic Programming,"# Brute Force
class Solution:
    def uniquePaths(self, m: int, n: int) -> int:
        directions = [(0, 1), (1, 0)]
        
        def dfs(row, col, path):
            if row == m - 1 and col == n - 1:
                return 1

            path.add((row, col))
            paths = 0
            
            for dr, dc in directions:
                checkRow, checkCol = row + dr, col + dc

                if (0 <= checkRow < m and
                    0 <= checkCol < n and
                    (checkRow, checkCol) not in path):
                    paths += dfs(checkRow, checkCol, path)

            path.remove((row, col))
            return paths


        return dfs(0, 0, set())","# DP Linear Time + Space
class Solution:
    def uniquePaths(self, m: int, n: int) -> int:
        dp = [[0] * n for i in range(m)]
        dp[m - 1][n - 1] = 1

        for row in range(m - 1, -1, -1):
            for col in range(n - 1, -1 , -1):
                dp[row][col] += dp[row + 1][col] if row + 1 < m else 0
                dp[row][col] += dp[row][col + 1] if col + 1 < n else 0

        return dp[0][0]","# DP Optimal Time + Space
class Solution:
    def uniquePaths(self, m: int, n: int) -> int:
        dp = [0] * n
        dp[n - 1] = 1

        for row in range(m - 1, -1, -1):
            prev = 0
            for col in range(n - 1, -1 , -1):
                dp[col] += prev
                prev = dp[col]

        return dp[0]"
Longest Common Subsequence,2-D Dynamic Programming,"# Brute Force
class Solution:
    def longestCommonSubsequence(self, text1: str, text2: str) -> int:
        
        def dfs(i, j):
            if i == len(text1) or j == len(text2):
                return 0
            elif text1[i] == text2[j]:
                return 1 + dfs(i + 1, j + 1)
            else:
                return max(dfs(i + 1, j), dfs(i, j + 1))

        return dfs(0, 0)","# DP Linear Time + Space
class Solution:
    def longestCommonSubsequence(self, text1: str, text2: str) -> int:
        dp = [[0] * (len(text2) + 1) for i in range(len(text1) + 1)]
        
        for row in range(len(text1) - 1, -1, -1):
            for col in range(len(text2) - 1, -1, -1):
                if text1[row] == text2[col]:
                    dp[row][col] = 1 + dp[row + 1][col + 1]
                else:
                    dp[row][col] = max(dp[row + 1][col], dp[row][col + 1]) 

        return dp[0][0]","# DP Optimal Time + Space
class Solution:
    def longestCommonSubsequence(self, text1: str, text2: str) -> int:
        dp = [0] * (len(text2) + 1)
        
        for row in range(len(text1) - 1, -1, -1):
            prevDiag = 0
            for col in range(len(text2) - 1, -1, -1):
                temp = dp[col]
                if text1[row] == text2[col]:
                    dp[col] = 1 + prevDiag
                else:
                    dp[col] = max(dp[col], dp[col + 1]) 
                prevDiag = temp
        return dp[0]"
Best Time to Buy And Sell Stock With Cooldown,2-D Dynamic Programming,"# Brute Force
class Solution:
    def maxProfit(self, prices: List[int]) -> int:
        
        def dfs(i, buy):
            if i >= len(prices):
                return 0

            if buy:
                profit = dfs(i + 1, False) - prices[i]
                cooldown = dfs(i + 1, True)
                return max(profit, cooldown)
            else:
                sell = prices[i] + dfs(i + 2, True)
                cooldown = dfs(i + 1, False)
                return max(sell, cooldown)

        return dfs(0, True)","# DP Linear Time + Space
class Solution:
    def maxProfit(self, prices: List[int]) -> int:
        dp = {}
        
        def dfs(i, buy):
            if i >= len(prices):
                return 0
            if (i, buy) in dp:
                return dp[(i, buy)]

            if buy:
                profit = dfs(i + 1, False) - prices[i]
                cooldown = dfs(i + 1, True)
                dp[(i, buy)] = max(profit, cooldown)
            else:
                sell = prices[i] + dfs(i + 2, True)
                cooldown = dfs(i + 1, False)
                dp[(i, buy)] = max(sell, cooldown)
                
            return dp[(i, buy)]

        return dfs(0, True)",
Coin Change II,2-D Dynamic Programming,"# Brute Force
class Solution:
    def change(self, amount: int, coins: List[int]) -> int:
        
        def dfs(moneyLeft, avaliableCoins):
            if moneyLeft == 0:
                return 1
            
            ways = 0
            for i in range(len(avaliableCoins)):
                if moneyLeft - avaliableCoins[i] >= 0:
                    ways += dfs(moneyLeft - avaliableCoins[i], avaliableCoins[i:])
            
            return ways

        return dfs(amount, coins)","# Pruned Brute Force
class Solution:
    def change(self, amount: int, coins: List[int]) -> int:
        dp = {}
        
        def dfs(moneyLeft, index):
            if moneyLeft == 0:
                return 1
            elif index == len(coins):
                return 0
            elif (moneyLeft, index) in dp:
                return dp[(moneyLeft, index)]
            
            ways = 0
            for i in range(index, len(coins)):
                if moneyLeft - coins[i] >= 0:
                    ways += dfs(moneyLeft - coins[i], i)
            
            dp[(moneyLeft, index)] = ways
            return ways

        return dfs(amount, 0)","# DP Optimal Time + Space
class Solution:
    def change(self, amount: int, coins: List[int]) -> int:
        dp = [0] * (amount + 1)
        dp[amount] = 1

        for coin in coins:
            for i in range(amount - 1, -1, -1):
                dp[i] += dp[i + coin] if coin + i <= amount else 0
        
        return dp[0]"
Target Sum,2-D Dynamic Programming,"# Brute Force
class Solution:
    def findTargetSumWays(self, nums: List[int], target: int) -> int:

        def dfs(currentSum, i):
            if i == len(nums):
                return 1 if currentSum == target else 0

            return dfs(currentSum - nums[i], i + 1) + dfs(currentSum + nums[i], i + 1)

        return dfs(0, 0)","# DP O(numbers * possible sums) Time + Space
class Solution:
    def findTargetSumWays(self, nums: List[int], target: int) -> int:
        dp = {}

        def dfs(currentSum, i):
            if (currentSum, i) in dp:
                return dp[(currentSum, i)]
            if i == len(nums):
                return 1 if currentSum == target else 0

            dp[(currentSum, i)] = dfs(currentSum - nums[i], i + 1) + dfs(currentSum + nums[i], i + 1)
            return dp[(currentSum, i)]

        return dfs(0, 0)","#DP Optimal Time + Space, O(n * s)/O(s)
class Solution:
    def findTargetSumWays(self, nums: List[int], target: int) -> int:
        row = defaultdict(int) # sums : counts
        row[0] = 1

        for n in nums:
            currentRow = defaultdict(int)
            for prevSum, count in row.items():
                currentRow[prevSum + n] += count
                currentRow[prevSum - n] += count
            row = currentRow

        return row[target]"
Interleaving String,2-D Dynamic Programming,"# Brute Force
class Solution:
    def isInterleave(self, s1: str, s2: str, s3: str) -> bool:
        if len(s1) + len(s2) != len(s3):
            return False
        
        def dfs(i, j):
            if i + j == len(s3):
                return True

            if len(s1) > i and len(s2) > j and s1[i] == s3[i + j] and s2[j] == s3[i + j]:
                return dfs(i + 1, j) or dfs(i, j + 1)
            elif len(s1) > i and s1[i] == s3[i + j]:
                return dfs(i + 1, j)
            elif len(s2) > j and s2[j] == s3[i + j]:
                return dfs(i, j + 1)

            return False

        return dfs(0, 0)","# DP Top-Down
class Solution:
    def isInterleave(self, s1: str, s2: str, s3: str) -> bool:
        if len(s1) + len(s2) != len(s3):
            return False

        dp = {}
        
        def dfs(i, j):
            if (i, j) in dp:
                return dp[(i, j)]
            if i + j == len(s3):
                return True

            if len(s1) > i and len(s2) > j and s1[i] == s3[i + j] and s2[j] == s3[i + j]:
                dp[(i, j)] = dfs(i + 1, j) or dfs(i, j + 1)
            elif len(s1) > i and s1[i] == s3[i + j]:
                dp[(i, j)] = dfs(i + 1, j)
            elif len(s2) > j and s2[j] == s3[i + j]:
                dp[(i, j)] = dfs(i, j + 1)
            else:
                dp[(i, j)] = False

            return dp[(i, j)]

        return dfs(0, 0)",
Longest Increasing Path In a Matrix,2-D Dynamic Programming,,,"# DP Optimal Time + Space, O(r * c)
class Solution:
    def longestIncreasingPath(self, matrix: List[List[int]]) -> int:
        directions = [(-1, 0), (1, 0), (0, -1), (0, 1)]
        rows, cols = len(matrix), len(matrix[0])
        longest = 0
        dp = {}

        def dfs(row, col):
            if (row, col) in dp:
                return dp[(row, col)]

            dp[(row, col)] = 1
            for dr, dc in directions:
                checkRow, checkCol = row + dr, col + dc

                if (0 <= checkRow < rows and
                    0 <= checkCol < cols and
                    matrix[checkRow][checkCol] > matrix[row][col]):
                    dp[(row, col)] = max(dp[(row, col)], 1 + dfs(checkRow, checkCol))
            
            return dp[(row, col)]

        for row in range(rows):
            for col in range(cols):
                longest = max(longest, dfs(row, col))

        return longest
"
Distinct Subsequences,2-D Dynamic Programming,"# Brute Force
class Solution:
    def numDistinct(self, s: str, t: str) -> int:
        
        def dfs(i, j):
            if j == len(t):
                return 1
            elif i == len(s):
                return 0

            skip = dfs(i + 1, j)
            
            take = dfs(i + 1, j + 1) if s[i] == s[j] else 0

            return skip + take

        return dfs(0, 0)","# DP Top-Down
class Solution:
    def numDistinct(self, s: str, t: str) -> int:
        dp = {}
        
        def dfs(i, j):
            if (i, j) in dp:
                return dp[(i, j)]
            if j == len(t):
                return 1
            elif i == len(s):
                return 0

            dp[(i, j)] = dp.get((i, j), 0) + dfs(i + 1, j) + (dfs(i + 1, j + 1) if s[i] == t[j] else 0)

            return dp[(i, j)]

        return dfs(0, 0)",
Edit Distance,2-D Dynamic Programming,,,
Burst Balloons,2-D Dynamic Programming,,,
Regular Expression Matching,2-D Dynamic Programming,,,
Maximum Subarray,Greedy,,,
Jump Game,Greedy,,,
Jump Game II,Greedy,,,
Gas Station,Greedy,,,
Hand of Straights,Greedy,,,
Merge Triplets to Form Target Triplet,Greedy,,,
Partition Labels,Greedy,,,
Valid Parenthesis String,Greedy,,,
Insert Interval,Intervals,,,
Merge Intervals,Intervals,,,
Non Overlapping Intervals,Intervals,,,
Meeting Rooms,Intervals,,,
Meeting Rooms II,Intervals,,,
Minimum Interval to Include Each Query,Intervals,,,
Rotate Image,Math & Geometry,,,
Spiral Matrix,Math & Geometry,,,
Set Matrix Zeroes,Math & Geometry,,,
Happy Number,Math & Geometry,,,
Plus One,Math & Geometry,,,
"Pow(x, n)",Math & Geometry,,,
Multiply Strings,Math & Geometry,,,
Detect Squares,Math & Geometry,,,
Single Number,Bit Manipulation,,,
Number of 1 Bits,Bit Manipulation,,,
Counting Bits,Bit Manipulation,,,
Reverse Bits,Bit Manipulation,,,
Missing Number,Bit Manipulation,,,
Sum of Two Integers,Bit Manipulation,,,
Reverse Integer,Bit Manipulation,,,
